"*SP [Khi thanh toán bằng tiền mặt, tôi ý thức rõ hơn về số tiền mình đã chi so với thanh toán kỹ thuật số.]",*SP [Thanh toán kỹ thuật số khiến tôi khó nhận ra mình đã tiêu bao nhiêu tiền.],*SP [Việc nhìn thấy tiền mặt rời khỏi tay khiến tôi cân nhắc kỹ hơn trước khi chi tiêu.],*SP [Thanh toán bằng phương thức kỹ thuật số khiến tôi cảm thấy ít “đau” hơn so với khi trả bằng tiền mặt.],*SP [Tôi cảm thấy mình chi tiêu nhiều hơn khi không thấy tiền mặt rời khỏi ví.],*SP [Thanh toán kỹ thuật số khiến việc chi tiêu trở nên dễ dàng và ít căng thẳng hơn.],*SP [Tôi không cảm thấy “đau” khi chi tiêu bằng phương thức kỹ thuật số so với tiền mặt.],"*SP [Khi thanh toán kỹ thuật số, tôi có cảm giác như mình chưa thật sự chi tiền.]",*SP [Tôi cảm thấy mình kiểm soát chi tiêu tốt hơn khi thanh toán bằng tiền mặt.],*SP [Tôi cảm thấy mình mất kiểm soát ngân sách khi phụ thuộc vào thanh toán kỹ thuật số.],*SP [Thanh toán bằng tiền mặt giúp tôi tuân thủ giới hạn chi tiêu tốt hơn so với thanh toán kỹ thuật số.],*SP [Sự tiện lợi của thanh toán kỹ thuật số khiến tôi dễ chi tiêu nhiều hơn.],*PR [Tôi lo ngại về tính bảo mật của việc trao đổi thông tin cá nhân khi sử dụng ví điện tử.],*PR [Tôi lo ngại rằng thông tin cá nhân của tôi có thể bị chia sẻ với các doanh nghiệp mà không có sự đồng ý của tôi khi sử dụng ví điện tử để mua hàng hoặc thanh toán hóa đơn.],*PR [Tôi lo ngại rằng những thông tin tôi đã tiết lộ cho nhà cung cấp ví điện tử có thể bị sử dụng sai mục đích.],*PR [Tôi lo lắng về tính an toàn của các giao dịch tài chính được thực hiện qua ví điện tử.],*PR [Tôi lo ngại rằng việc sử dụng ví điện tử có thể dẫn đến hành vi gian lận đối với tài khoản ngân hàng của tôi.],*PR [Tôi lo ngại rằng việc sử dụng ví điện tử có thể khiến tài khoản ngân hàng của tôi gặp rủi ro tài chính.],*VA [Ứng dụng thanh toán mà tôi đang sử dụng trưng bày có thiết kế bắt mắt],"*VA [Ứng dụng thanh toán mà tôi đang sử dụng có giao diện trông tiện lợi, dễ thao tác]",*VA [Ứng dụng thanh toán mà tôi đang sử dụng có giao diện thu hút.],*SA [Tôi cảm thấy thỏa mãn với quyết định sử dụng phương thức thanh toán số trong mua sắm.],*SA [Sử dụng phương thức thanh toán số/ ví điện tử trong mua sắm là một quyết định sáng suốt của tôi.],*SA [Tôi cảm thấy hài lòng với những quyết định trước đây khi chọn sử dụng phương thức thanh toán số/ ví điện tử để mua sắm],*SA [Tôi cực kỳ thỏa mãn với trải nghiệm mua sắm bằng phương thức thanh toán số/ ví điện tử],*PE [Tôi cảm thấy việc sử dụng phương thức thanh toán số/ví điện tử trong mua sắm là thú vị.],*PE [Quá trình thực hiện thanh toán trực tuyến mang lại cho tôi sự dễ chịu và thoải mái.],*PE [Tôi cảm thấy vui vẻ và hào hứng khi sử dụng ví điện tử/thanh toán số để mua sắm.],*IB [Tôi thường mua hàng trực tuyến mà không suy nghĩ nhiều.],*IB [Tôi quyết định mua sắm trực tuyến tùy theo cảm xúc tại thời điểm đó.],"*IB [Thấy là thích, tôi mua ngay qua ứng dụng/website.]",*IB [“Thích thì mua liền” đúng với cách tôi mua sắm trực tuyến.],*IB [Tôi mua hàng mà ít để ý hoặc cân nhắc.],*IB [Tôi thường lên kế hoạch cẩn thận cho hầu hết các giao dịch trực tuyến.],*IB [Tôi thường chỉ mua những thứ thật sự cần thiết.],*IB [Tôi thường suy nghĩ kỹ trước khi quyết định mua hàng online.],"*IB [Tôi không phải kiểu người mua sắm bốc đồng, không có kế hoạch.]",*IB [Tôi chỉ mua những món hàng thật sự cần dùng.],"*IB [Khi thấy một sản phẩm trực tuyến hấp dẫn, tôi cảm thấy phải mua ngay.]",*IB [Tôi rất khó bỏ qua những chương trình khuyến mãi / giảm giá.],*IB [Tôi có cảm giác thôi thúc mạnh mẽ khi thấy món hàng online mình thích.],*IB [Tôi cảm thấy phấn khích khi thực hiện một giao dịch mua sắm.],*IB [Đôi khi tôi cảm thấy áy náy sau khi mua hàng bốc đồng.],*IB [Tôi không thể cưỡng lại việc mua những món hàng mình thấy hấp dẫn.],*IB [Tôi cảm thấy vui vẻ khi mua sắm một cách ngẫu hứng.],*IB [Đôi lúc tôi thấy hối tiếc sau khi mua hàng một cách bốc đồng.],"*IB [Tôi thích cảm giác mua sắm bất ngờ, không có kế hoạch trước.]","*IB [Khi thấy một sản phẩm trực tuyến, tôi có cảm giác muốn mua ngay lập tức.]"
4,2,4,3,5,3,3,2,4,5,4,4,4,4,5,4,5,5,3,4,3,4,5,4,3,3,3,3,4,5,4,3,2,2,4,5,5,5,3,5,3,3,4,2,2,4,1,1
4,3,4,3,4,4,3,4,4,4,3,5,4,4,5,4,5,5,4,5,5,4,4,4,4,5,4,5,2,2,2,2,2,3,4,4,4,5,4,3,5,5,5,5,2,3,1,3
4,4,4,4,3,3,4,3,4,3,4,3,3,4,4,4,3,4,3,4,4,3,4,3,4,3,4,4,4,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4,4,2,2,2,3,3,4,4,3,4,5,5,4,4,3,4,4,4
4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2
5,2,4,5,3,4,3,1,3,3,2,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,3,4,4,2,4,4,4,2,4,4,2,4,4,2,1,4,2,4,2,4,2,4,2,4,2,4,2,4,3,3,5,5,5,3,3,3,5,5,3,5,3,4,3,4,3,4
3,2,4,2,4,4,3,4,3,4,4,4,4,4,5,5,4,4,5,4,4,4,5,4,5,5,5,3,2,2,4,4,2,2,4,4,4,5,2,5,4,4,4,3,2,5,2,4
4,2,5,2,2,3,4,2,4,4,4,3,2,2,3,3,2,3,4,5,4,4,4,5,5,4,5,4,4,5,4,4,4,5,3,3,3,4,4,5,4,4,5,5,4,4,5,4
4,5,4,5,4,5,5,5,4,5,4,5,4,4,5,4,5,4,4,5,5,4,4,4,5,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,5,5,5,5,4,5,4,5
2,4,5,3,5,5,2,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,1,4
4,1,4,3,3,2,3,2,4,3,2,5,4,5,5,4,5,4,4,4,5,3,3,3,3,5,4,5,3,3,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
5,4,5,4,4,5,4,4,5,4,4,4,5,4,5,5,5,5,4,4,5,4,5,4,4,4,3,4,3,2,3,3,4,5,5,4,5,4,5,4,5,4,4,3,2,4,4,5
4,3,4,5,4,5,5,4,4,5,5,4,2,2,1,2,1,2,4,5,5,5,5,5,5,5,5,5,2,2,2,2,1,3,3,4,4,3,3,2,3,2,4,2,1,5,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,5,5,5,5,3,4
2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,3,5,4,3,4,4,3,4,3,4,4,4,5,3,3
4,3,4,4,3,3,3,3,4,4,3,5,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,3,4,3,3,3,4,3,4
3,1,5,1,1,2,2,1,4,3,3,2,3,4,5,4,4,4,4,3,3,1,3,2,2,1,1,1,1,2,1,1,1,4,5,4,4,5,1,3,4,1,3,2,1,3,3,1
4,4,5,4,4,5,5,4,4,4,5,5,4,5,5,4,4,4,5,5,4,4,4,5,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,5,4,4,5,5,5,4,4,5
2,1,3,2,2,4,2,2,2,2,3,4,4,4,4,3,2,2,5,5,5,5,5,5,4,5,5,5,2,2,2,2,2,3,4,5,4,4,3,3,4,4,4,4,2,4,2,3
5,5,4,4,3,5,5,5,3,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4
4,4,4,1,2,2,2,1,4,3,3,2,4,4,4,4,4,4,2,3,3,3,3,3,2,2,3,2,2,4,2,2,1,2,4,5,5,4,3,4,2,2,4,3,2,4,2,2
4,4,4,3,4,4,3,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,4,5,5,4,3,4,4,5,4,3,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,3,3,3,3,5,5,5,5,5,4,4,4,4,4,3,3,5,3,3
5,4,5,5,4,5,5,5,4,4,5,5,4,5,4,5,5,4,4,5,5,4,5,4,5,4,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,5,4,5
5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,5,4,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5
4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,3,5,4,4,5,3,3,4,3,4,5,5,4,4,4,4,3,5,5,3,4,4,4,3,4,5,4,4,3,4,5
5,5,5,5,1,5,3,2,5,5,4,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,4,2,2,2,4,4,5,3,2,4,5,5,4,5,4,4,4,4,1
3,2,4,2,2,3,2,2,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,5,4,5,4,2,4,3,3,3,3,4,3,2,3
5,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,5
4,5,4,4,4,3,4,2,3,3,3,4,2,2,3,4,3,4,4,2,3,4,3,3,3,4,4,4,3,4,2,2,3,4,4,4,5,5,2,3,3,4,4,3,2,4,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,2,2,5,4,4,2,2,2,4,5,4,4,5,5,4,4,5,4,5,4,4,5,4,5,4,1,3,2,1,1,4,5,4,5,5,2,4,2,4,5,4,2,4,1,1
5,4,4,5,4,4,3,2,3,3,4,3,5,4,5,4,5,5,3,3,2,3,4,3,3,5,4,5,3,3,4,5,2,4,3,5,5,3,3,4,4,3,5,4,4,3,4,3
3,2,4,4,2,4,3,3,4,4,2,5,2,4,4,4,2,3,4,4,4,4,5,5,3,3,5,4,2,3,4,2,2,3,4,3,4,4,4,4,4,3,5,2,2,4,2,4
4,5,5,4,3,3,2,2,4,3,4,4,4,4,3,3,5,4,4,4,5,4,4,3,4,4,5,3,4,4,5,4,2,4,4,3,3,4,2,4,4,3,3,4,3,4,2,3
5,5,5,5,4,4,4,3,5,5,5,5,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,5,4,4,5,4,2,4,4,4,5,3,2,3,2,3,2,4,5,4,5,4,5,4,3,4,4,2,3,2,2,2,3,4,4,5,4,2,3,4,4,2,3,4,3,4,4
3,2,4,2,2,2,1,1,5,3,4,5,4,4,4,4,4,4,5,5,5,3,2,2,3,4,3,2,2,2,1,1,2,5,4,5,4,4,2,5,4,5,4,2,2,4,1,2
5,4,5,5,5,5,2,4,2,4,4,5,4,4,4,5,2,2,4,4,4,4,3,4,4,4,3,4,2,1,1,1,1,4,4,5,5,4,1,2,5,4,5,2,4,2,4,4
3,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,5,2,5,5,5,5,5,5,5,3,5,3,3,2,1,2,5,1,1,1,2,5,3,5,5,5,5,5,5
5,4,5,5,5,5,2,2,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,4,5,4,3,4,3,2,2,2,3,3,3,4,4,2,5,3,3,5,4,4,5,3,3
3,4,4,3,4,4,5,4,5,5,5,4,3,3,3,3,3,3,2,2,2,3,4,5,5,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3
4,5,4,5,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,5,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,4
2,2,2,2,2,2,1,1,1,1,1,4,2,5,2,2,2,2,4,4,4,5,5,5,5,4,4,4,1,4,2,2,2,4,4,5,5,4,4,2,4,2,4,2,4,4,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,5,2,5,2,4,5,5,5,5,3,4,4,3,4,2,4,5,4,4,5,4,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,4,4,4,4
4,3,3,2,3,3,3,3,2,3,2,3,4,5,5,5,5,5,3,4,3,3,4,3,3,3,3,3,2,1,1,1,1,3,4,3,4,4,3,2,4,2,3,2,2,4,2,2
4,5,4,3,2,4,2,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,4,2,3,3,2,4,5,4,3,5,4,3,5,2,2
4,5,4,4,5,4,5,4,5,4,4,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,3,3,3,5
4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,5,4,4,5,4,4,5,4,3,4,4,4,4,4,5,5,5
3,1,4,5,4,5,4,5,1,1,3,4,4,4,4,4,5,5,4,3,5,5,4,5,4,4,5,4,3,4,1,1,1,3,4,4,4,4,2,4,2,4,4,2,1,4,1,1
1,2,1,2,1,2,1,2,1,3,4,4,2,4,3,2,4,4,4,4,3,3,4,3,4,4,3,4,3,3,4,3,3,4,4,3,3,3,3,5,4,4,4,4,4,3,4,4
4,5,4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,5,3,3,1,3,3,4,3,3,5,3,1
3,4,4,3,4,4,3,4,4,3,4,4,5,4,5,4,5,4,4,3,4,3,4,3,4,4,4,4,2,2,3,3,1,5,4,4,4,4,2,3,4,4,4,3,4,4,2,3
3,4,3,3,4,3,3,2,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,3,2,2,2,2,2,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3
4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,4,3,3,4,3,3,4,4,4,4,4,5,5,4,4,5,4,4,4,5,4,5,5,4,3,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5
2,2,4,2,3,4,2,1,3,4,2,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,2,2,1,2,1,1,1,3,4,4,3,4,2,1,4,3,2,3,4,5,4,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,4,3,4,5,4,4,3,4,5,5,4,3,4,5,4,4,4,5,4,4,3,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,3,4,4,4,3,3,4,4,5
2,2,3,1,2,1,3,1,3,1,3,1,1,2,2,3,1,3,3,1,3,2,3,1,1,1,3,1,3,2,3,3,2,3,2,3,2,3,2,2,3,2,1,3,1,3,1,1
2,2,2,2,3,3,2,1,1,2,2,4,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,4,2,2,3,2,3,4,2,4,4,2,2,2,3,4,3,3,4,4,3,3,4,3,2,2,2,2,2,4,4,4,4,4,2,3,4,2,4,2,2,4,2,2
4,5,4,4,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,5,5,4,4,5,4,5,4,4,4,4,4,5
4,4,4,3,5,5,4,3,5,4,5,4,4,4,5,5,4,5,4,5,4,4,5,5,4,4,4,5,4,5,4,5,4,4,4,4,4,5,3,3,3,4,3,4,3,5,5,4
4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4
4,4,3,4,3,3,3,4,3,4,3,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,3,3,4,3,4,4,3,4,3,5,3,5,3,5,3,4,3,4,3,4,3,4
3,2,4,3,2,5,2,2,3,2,3,3,3,4,4,3,3,3,5,5,4,5,4,4,4,3,4,4,2,3,2,1,1,4,3,5,4,3,1,2,2,2,3,2,3,4,2,2
4,3,5,5,5,5,4,4,5,3,4,5,3,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,3,3,2,2,2,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3
